"","Yr","Catch","Catch_std","model"
"1",2024,12757,33173.7,"scenario_1"
"2",2025,14955.3,40496.4,"scenario_1"
"3",2026,16345.2,40911.1,"scenario_1"
"4",2027,18429,37194.9,"scenario_1"
"5",2028,20331.6,33963.4,"scenario_1"
"6",2029,21367.9,32647.5,"scenario_1"
"7",2030,21678.4,32473.5,"scenario_1"
"8",2031,21682.6,32606.7,"scenario_1"
"9",2032,21632.5,32719.3,"scenario_1"
"10",2033,21603.7,32763.5,"scenario_1"
"11",2034,21595.1,32770.1,"scenario_1"
"12",2035,21594.7,32766.3,"scenario_1"
"13",2036,21595.8,33173.7,"scenario_1"
"14",2024,12757,33173.7,"scenario_2"
"15",2025,14955.3,40496.4,"scenario_2"
"16",2026,16345.2,40911.1,"scenario_2"
"17",2027,18429,37194.9,"scenario_2"
"18",2028,20331.6,33963.4,"scenario_2"
"19",2029,21367.9,32647.5,"scenario_2"
"20",2030,21678.4,32473.5,"scenario_2"
"21",2031,21682.6,32606.7,"scenario_2"
"22",2032,21632.5,32719.3,"scenario_2"
"23",2033,21603.7,32763.5,"scenario_2"
"24",2034,21595.1,32770.1,"scenario_2"
"25",2035,21594.7,32766.3,"scenario_2"
"26",2036,21595.8,33173.7,"scenario_2"
"27",2024,14265.4,34274.5,"scenario_3"
"28",2025,15752.3,41311.1,"scenario_3"
"29",2026,16827.5,41105.2,"scenario_3"
"30",2027,18935.7,36937.2,"scenario_3"
"31",2028,20868.4,33747.2,"scenario_3"
"32",2029,21852.8,32658.9,"scenario_3"
"33",2030,22097.6,32632.5,"scenario_3"
"34",2031,22070,32806.4,"scenario_3"
"35",2032,22015.3,32910,"scenario_3"
"36",2033,21990.6,32938.8,"scenario_3"
"37",2034,21985.6,32937.5,"scenario_3"
"38",2035,21986.6,32931.9,"scenario_3"
"39",2036,21987.9,34274.5,"scenario_3"
"40",2024,3144.87,6122.05,"scenario_4"
"41",2025,5260.21,8786.77,"scenario_4"
"42",2026,6052.19,11015,"scenario_4"
"43",2027,6815.98,12490.9,"scenario_4"
"44",2028,7569.71,13297.5,"scenario_4"
"45",2029,8252.68,13676.4,"scenario_4"
"46",2030,8813.08,13831.5,"scenario_4"
"47",2031,9239.98,13877.7,"scenario_4"
"48",2032,9549.74,13878.5,"scenario_4"
"49",2033,9765.75,13863,"scenario_4"
"50",2034,9913.16,13844.5,"scenario_4"
"51",2035,10012.2,13828,"scenario_4"
"52",2036,10077.9,6122.05,"scenario_4"
"53",2024,0,0,"scenario_5"
"54",2025,0,0,"scenario_5"
"55",2026,0,0,"scenario_5"
"56",2027,0,0,"scenario_5"
"57",2028,0,0,"scenario_5"
"58",2029,0,0,"scenario_5"
"59",2030,0,0,"scenario_5"
"60",2031,0,0,"scenario_5"
"61",2032,0,0,"scenario_5"
"62",2033,0,0,"scenario_5"
"63",2034,0,0,"scenario_5"
"64",2035,0,76028.8,"scenario_5"
"65",2036,0,0,"scenario_5"
"66",2024,15311.3,34943.4,"scenario_6"
"67",2025,16207,41813.4,"scenario_6"
"68",2026,17091.3,41187.9,"scenario_6"
"69",2027,19244.9,36739.8,"scenario_6"
"70",2028,21203.2,33612.2,"scenario_6"
"71",2029,22148.6,32684.3,"scenario_6"
"72",2030,22348.9,32745.8,"scenario_6"
"73",2031,22302.8,32935.5,"scenario_6"
"74",2032,22247.1,33028.4,"scenario_6"
"75",2033,22225.8,33047,"scenario_6"
"76",2034,22223.1,33041.7,"scenario_6"
"77",2035,22224.7,33035.8,"scenario_6"
"78",2036,22226,34943.4,"scenario_6"
"79",2024,12757,56246.5,"scenario_7"
"80",2025,14955.3,45321.5,"scenario_7"
"81",2026,19524.4,40780.6,"scenario_7"
"82",2027,19798.7,36169.3,"scenario_7"
"83",2028,21216.5,33426.3,"scenario_7"
"84",2029,22078.4,32680.1,"scenario_7"
"85",2030,22310.8,32770.2,"scenario_7"
"86",2031,22293.3,32947.1,"scenario_7"
"87",2032,22247.7,33029.9,"scenario_7"
"88",2033,22227.5,33045.9,"scenario_7"
"89",2034,22223.8,33040.9,"scenario_7"
"90",2035,22224.9,33035.6,"scenario_7"
"91",2036,22225.9,56246.5,"scenario_7"
